ip.src;ip.dst;SNI
10.0.2.16;52.49.203.159;android-appboot.netflix.com
10.0.2.16;99.81.251.69;android-h2.prod.ftl.netflix.com
10.0.2.16;54.217.35.13;android.prod.cloud.netflix.com
10.0.2.16;45.57.16.155;occ-0-1490-1489.1.nflxso.net
10.0.2.16;45.57.16.155;ipv4-c049-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.75.170;ipv4-c011-fra002-dev-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.41.1;h1-scm.prod.ftl.netflix.com
10.0.2.16;45.57.40.1;h2-scm.prod.ftl.netflix.com
10.0.2.16;45.57.17.155;ipv4-c055-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.17.132;ipv4-c006-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.16.150;ipv4-c041-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.16.154;ipv4-c048-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;52.211.240.52;android-appboot.netflix.com
10.0.2.16;54.195.169.127;android-h2.prod.ftl.netflix.com
10.0.2.16;52.211.179.103;android.prod.cloud.netflix.com
10.0.2.16;45.57.16.139;occ-0-1490-1489.1.nflxso.net
10.0.2.16;45.57.17.144;ipv4-c035-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.17.152;ipv4-c046-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.17.135;ipv4-c013-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.16.134;ipv4-c008-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.74.180;ipv4-c089-fra002-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.74.143;ipv4-c014-fra002-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.16.138;ipv4-c020-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.16.146;ipv4-c031-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.16.140;ipv4-c022-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.74.156;ipv4-c042-fra002-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.74.183;ipv4-c092-fra002-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.16.133;ipv4-c007-vie001-ix.1.oca.nflxvideo.net
10.0.2.16;45.57.16.139;ipv4-c021-vie001-ix.1.oca.nflxvideo.net
