ip.src;ip.dst;SNI
10.0.2.16;199.232.138.167;gql.twitch.tv
10.0.2.16;52.88.15.59;video-edge-21aea0.pdx01.abs.hls.ttvnw.net
10.0.2.16;13.32.110.178;static.twitchcdn.net
10.0.2.16;54.213.145.67;pubsub-edge.twitch.tv
10.0.2.16;199.232.138.214;api.twitch.tv
10.0.2.16;192.108.239.254;usher.ttvnw.net
10.0.2.16;54.186.165.48;irc-ws.chat.twitch.tv
10.0.2.16;52.223.198.11;video-weaver.prg02.hls.ttvnw.net
10.0.2.16;52.223.200.83;video-edge-748de0.prg02.abs.hls.ttvnw.net
10.0.2.16;54.201.8.168;video-edge-ead974.pdx01.abs.hls.ttvnw.net
10.0.2.16;52.210.176.161;twitch.prod.entry.video-ads.a2z.com
10.0.2.16;52.223.200.52;video-edge-748650.prg02.abs.hls.ttvnw.net
10.0.2.16;54.200.122.29;spade.twitch.tv
10.0.2.16;52.223.200.36;video-edge-748bd0.prg02.abs.hls.ttvnw.net
10.0.2.16;44.241.45.130;video-edge-ead974.pdx01.abs.hls.ttvnw.net
10.0.2.16;52.37.80.210;pubsub-edge.twitch.tv
10.0.2.16;44.238.190.147;irc-ws.chat.twitch.tv
10.0.2.16;52.223.200.100;video-edge-748bac.prg02.abs.hls.ttvnw.net
10.0.2.16;34.252.74.211;twitch.prod.entry.video-ads.a2z.com
10.0.2.16;44.229.25.119;spade.twitch.tv
10.0.2.16;54.148.28.197;irc-ws.chat.twitch.tv
10.0.2.16;52.223.200.37;video-edge-7489cc.prg02.abs.hls.ttvnw.net
10.0.2.16;52.211.240.123;twitch.prod.entry.video-ads.a2z.com
10.0.2.16;99.86.242.75;vod-secure.twitch.tv
10.0.2.16;13.32.14.129;extensions-discovery-images.twitch.tv
10.0.2.16;52.223.200.39;video-edge-748680.prg02.abs.hls.ttvnw.net
10.0.2.16;99.86.242.110;panels-images.twitch.tv
10.0.2.16;54.244.0.200;irc-ws.chat.twitch.tv
10.0.2.16;13.32.14.114;clips-media-assets2.twitch.tv
10.0.2.16;99.86.242.15;production.assets.clips.twitchcdn.net
10.0.2.16;52.223.200.122;video-edge-748188.prg02.abs.hls.ttvnw.net
10.0.2.16;52.88.48.233;video-edge-ead974.pdx01.abs.hls.ttvnw.net
10.0.2.16;50.112.155.177;pubsub-edge.twitch.tv
10.0.2.16;52.39.4.171;irc-ws.chat.twitch.tv
10.0.2.16;52.223.200.88;video-edge-748358.prg02.abs.hls.ttvnw.net
10.0.2.16;13.32.14.35;clips-media-assets2.twitch.tv
10.0.2.16;99.86.242.48;vod-secure.twitch.tv
10.0.2.16;44.237.152.218;irc-ws.chat.twitch.tv
10.0.2.16;54.186.84.231;video-edge-ead974.pdx01.abs.hls.ttvnw.net
10.0.2.16;54.149.115.210;pubsub-edge.twitch.tv
10.0.2.16;99.86.242.128;vod-secure.twitch.tv
10.0.2.16;52.32.146.62;video-edge-ead974.pdx01.abs.hls.ttvnw.net
10.0.2.16;35.162.64.28;pubsub-edge.twitch.tv
10.0.2.16;23.160.0.254;usher.ttvnw.net
10.0.2.16;54.71.178.6;irc-ws.chat.twitch.tv
10.0.2.16;52.223.200.80;video-edge-74943c.prg02.abs.hls.ttvnw.net
10.0.2.16;52.223.200.55;video-edge-748b50.prg02.abs.hls.ttvnw.net
10.0.2.16;52.223.200.71;video-edge-7492d4.prg02.abs.hls.ttvnw.net
