10.0.2.16;35.190.88.7;57828;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sessions.bugsnag.com;0x0000001d,0x00000017,0x00000018;0
35.190.88.7;10.0.2.16;443;57828;2;0x00000303;4865;51,43;;;
10.0.2.16;52.49.203.159;38078;443;1;0x00000303;47802,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,39578,21;android-appboot.netflix.com;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;52.49.203.159;38080;443;1;0x00000303;23130,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,23130,21;android-appboot.netflix.com;0x00001a1a,0x0000001d,0x00000017,0x00000018;0
52.49.203.159;10.0.2.16;443;38078;2;0x00000303;49199;65281,11;;;0,1,2
52.49.203.159;10.0.2.16;443;38080;2;0x00000303;49199;65281,11;;;0,1,2
10.0.2.16;99.81.251.69;38852;443;1;0x00000303;6682,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,2570,21;android-h2.prod.ftl.netflix.com;0x00009a9a,0x0000001d,0x00000017,0x00000018;0
99.81.251.69;10.0.2.16;443;38852;2;0x00000303;4865;51,43;;;
10.0.2.16;54.217.35.13;58950;443;1;0x00000303;60138,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,60138,21;android.prod.cloud.netflix.com;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
54.217.35.13;10.0.2.16;443;58950;2;0x00000303;4865;51,43;;;
10.0.2.16;45.57.16.155;59392;443;1;0x00000303;2570,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,6682,21;occ-0-1490-1489.1.nflxso.net;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.16.155;59394;443;1;0x00000303;56026,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,6682,21;occ-0-1490-1489.1.nflxso.net;0x00005a5a,0x0000001d,0x00000017,0x00000018;0
45.57.16.155;10.0.2.16;443;59394;2;0x00000303;4865;43,51;;;
45.57.16.155;10.0.2.16;443;59392;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.16.155;59398;443;1;0x00000303;2570,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,10794,41;occ-0-1490-1489.1.nflxso.net;0x0000baba,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.16.155;59396;443;1;0x00000303;10794,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;10794,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,6682,41;occ-0-1490-1489.1.nflxso.net;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
45.57.16.155;10.0.2.16;443;59398;2;0x00000303;4865;43,51,41;;;
45.57.16.155;10.0.2.16;443;59396;2;0x00000303;4865;43,51,41;;;
10.0.2.16;45.57.16.155;59400;443;1;0x00000303;56026,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;23130,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,39578,21;ipv4-c049-vie001-ix.1.oca.nflxvideo.net;0x0000eaea,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.75.170;56640;443;1;0x00000303;14906,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;64250,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,21;ipv4-c011-fra002-dev-ix.1.oca.nflxvideo.net;0x00006a6a,0x0000001d,0x00000017,0x00000018;0
45.57.16.155;10.0.2.16;443;59400;2;0x00000303;4865;43,51;;;
45.57.75.170;10.0.2.16;443;56640;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.41.1;51860;443;1;0x00000303;43690,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;39578,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,23130,21;h1-scm.prod.ftl.netflix.com;0x00006a6a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.41.1;51862;443;1;0x00000303;47802,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,51914,21;h1-scm.prod.ftl.netflix.com;0x0000dada,0x0000001d,0x00000017,0x00000018;0
45.57.41.1;10.0.2.16;443;51860;2;0x00000303;4865;43,51;;;
45.57.41.1;10.0.2.16;443;51862;2;0x00000303;4865;43,51;;;
10.0.2.16;45.57.40.1;34090;443;1;0x00000303;60138,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,6682,21;h2-scm.prod.ftl.netflix.com;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
10.0.2.16;45.57.40.1;34088;443;1;0x00000303;35466,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,21;h2-scm.prod.ftl.netflix.com;0x00005a5a,0x0000001d,0x00000017,0x00000018;0
45.57.40.1;10.0.2.16;443;34088;2;0x00000303;4865;43,51;;;
45.57.40.1;10.0.2.16;443;34090;2;0x00000303;4865;43,51;;;
